ModePID,Description,Min,Max,Units,Formula,Header
2102,Cell 01,2.80,4.20,V,e/50,7E4
2102,Cell 02,2.80,4.20,V,f/50,7E4
2102,Cell 03,2.80,4.20,V,g/50,7E4
2102,Cell 04,2.80,4.20,V,h/50,7E4
2102,Cell 05,2.80,4.20,V,i/50,7E4
2102,Cell 06,2.80,4.20,V,j/50,7E4
2102,Cell 07,2.80,4.20,V,k/50,7E4
2102,Cell 08,2.80,4.20,V,l/50,7E4
2102,Cell 09,2.80,4.20,V,m/50,7E4
2102,Cell 10,2.80,4.20,V,n/50,7E4
2102,Cell 11,2.80,4.20,V,o/50,7E4
2102,Cell 12,2.80,4.20,V,p/50,7E4
2102,Cell 13,2.80,4.20,V,q/50,7E4
2102,Cell 14,2.80,4.20,V,r/50,7E4
2102,Cell 15,2.80,4.20,V,s/50,7E4
2102,Cell 16,2.80,4.20,V,t/50,7E4
2102,Cell 17,2.80,4.20,V,u/50,7E4
2102,Cell 18,2.80,4.20,V,v/50,7E4
2102,Cell 19,2.80,4.20,V,w/50,7E4
2102,Cell 20,2.80,4.20,V,x/50,7E4
2102,Cell 21,2.80,4.20,V,y/50,7E4
2102,Cell 22,2.80,4.20,V,z/50,7E4
2102,Cell 23,2.80,4.20,V,aa/50,7E4
2102,Cell 24,2.80,4.20,V,ab/50,7E4
2102,Cell 25,2.80,4.20,V,ac/50,7E4
2102,Cell 26,2.80,4.20,V,ad/50,7E4
2102,Cell 27,2.80,4.20,V,ae/50,7E4
2102,Cell 28,2.80,4.20,V,af/50,7E4
2102,Cell 29,2.80,4.20,V,ag/50,7E4
2102,Cell 30,2.80,4.20,V,ah/50,7E4
2102,Cell 31,2.80,4.20,V,ai/50,7E4
2102,Cell 32,2.80,4.20,V,aj/50,7E4
2103,Cell 33,2.80,4.20,V,e/50,7E4
2103,Cell 34,2.80,4.20,V,f/50,7E4
2103,Cell 35,2.80,4.20,V,g/50,7E4
2103,Cell 36,2.80,4.20,V,h/50,7E4
2103,Cell 37,2.80,4.20,V,i/50,7E4
2103,Cell 38,2.80,4.20,V,j/50,7E4
2103,Cell 39,2.80,4.20,V,k/50,7E4
2103,Cell 40,2.80,4.20,V,l/50,7E4
2103,Cell 41,2.80,4.20,V,m/50,7E4
2103,Cell 42,2.80,4.20,V,n/50,7E4
2103,Cell 43,2.80,4.20,V,o/50,7E4
2103,Cell 44,2.80,4.20,V,p/50,7E4
2103,Cell 45,2.80,4.20,V,q/50,7E4
2103,Cell 46,2.80,4.20,V,r/50,7E4
2103,Cell 47,2.80,4.20,V,s/50,7E4
2103,Cell 48,2.80,4.20,V,t/50,7E4
2103,Cell 49,2.80,4.20,V,u/50,7E4
2103,Cell 50,2.80,4.20,V,v/50,7E4
2103,Cell 51,2.80,4.20,V,w/50,7E4
2103,Cell 52,2.80,4.20,V,x/50,7E4
2103,Cell 53,2.80,4.20,V,y/50,7E4
2103,Cell 54,2.80,4.20,V,z/50,7E4
2103,Cell 55,2.80,4.20,V,aa/50,7E4
2103,Cell 56,2.80,4.20,V,ab/50,7E4
2103,Cell 57,2.80,4.20,V,ac/50,7E4
2103,Cell 58,2.80,4.20,V,ad/50,7E4
2103,Cell 59,2.80,4.20,V,ae/50,7E4
2103,Cell 60,2.80,4.20,V,af/50,7E4
2103,Cell 61,2.80,4.20,V,ag/50,7E4
2103,Cell 62,2.80,4.20,V,ah/50,7E4
2103,Cell 63,2.80,4.20,V,ai/50,7E4
2103,Cell 64,2.80,4.20,V,aj/50,7E4
2104,Cell 65,2.80,4.20,V,e/50,7E4
2104,Cell 66,2.80,4.20,V,f/50,7E4
2104,Cell 67,2.80,4.20,V,g/50,7E4
2104,Cell 68,2.80,4.20,V,h/50,7E4
2104,Cell 69,2.80,4.20,V,i/50,7E4
2104,Cell 70,2.80,4.20,V,j/50,7E4
2104,Cell 71,2.80,4.20,V,k/50,7E4
2104,Cell 72,2.80,4.20,V,l/50,7E4
2104,Cell 73,2.80,4.20,V,m/50,7E4
2104,Cell 74,2.80,4.20,V,n/50,7E4
2104,Cell 75,2.80,4.20,V,o/50,7E4
2104,Cell 76,2.80,4.20,V,p/50,7E4
2104,Cell 77,2.80,4.20,V,q/50,7E4
2104,Cell 78,2.80,4.20,V,r/50,7E4
2104,Cell 79,2.80,4.20,V,s/50,7E4
2104,Cell 80,2.80,4.20,V,t/50,7E4
2104,Cell 81,2.80,4.20,V,u/50,7E4
2104,Cell 82,2.80,4.20,V,v/50,7E4
2104,Cell 83,2.80,4.20,V,w/50,7E4
2104,Cell 84,2.80,4.20,V,x/50,7E4
2104,Cell 85,2.80,4.20,V,y/50,7E4
2104,Cell 86,2.80,4.20,V,z/50,7E4
2104,Cell 87,2.80,4.20,V,aa/50,7E4
2104,Cell 88,2.80,4.20,V,ab/50,7E4
2104,Cell 89,2.80,4.20,V,ac/50,7E4
2104,Cell 90,2.80,4.20,V,ad/50,7E4
2104,Cell 91,2.80,4.20,V,ae/50,7E4
2104,Cell 92,2.80,4.20,V,af/50,7E4
2104,Cell 93,2.80,4.20,V,ag/50,7E4
2104,Cell 94,2.80,4.20,V,ah/50,7E4
2104,Cell 95,2.80,4.20,V,ai/50,7E4
2104,Cell 96,2.80,4.20,V,aj/50,7E4
